BLISTA 1200.05 1.0 85 0.05 0.18-0.151.0 5 0.48 1.0 180.05 0.330.72 0.55 35.0 1.200.86 10.05 0.055 0.475 3.8 1.3 1.3 0.058 -0.10.05.03 0.05 0.6 1.0.05.6 0.8 1.5 0.05 150.05 00440.050.050.050.051 0
BOBCAT 2300.05 1.8 85 0.05 0.15-0.057 0.5 4 0.251.0 180.05 0.240.75 0.4035.0 1.120.97 11.9 0.055 0.484 3.8 1.1 1.1 0.16-0.180.052 0.5 1.0.05.6 0.8 1.5 0.05 250.05 004400.05 00.050.050.05
BOXVILLE 30.05.0 1.7 80.05.0 -0.05 -0.1-0.053 0.05 4 0.191.0 130.05 0.240.7 0.3 30.05 1.02 0.86 12.9 0.055 0.48 2.9 1.0 1.0.05.17-0.14-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 180.05 00224008 0.050.0500 2
BUCCANEER 2100.05 1.0 85 0.05 0.22-0.29-0.053 0.05 3 0.251.0 170.05 0.220.73 0.3037.0 1.16 1.0012.9 0.055 0.48 2.5 0.8 0.7 0.10 -0.150.055 0.5 1.0.05.6 0.8 1.5 0.05 180.05 40440.050.050.050.050.05
BURRITO 2700.05 1.2 80.05.0 -0.051 -0.10.05.03 0.05 4 0.241.0 150.05 0.240.7 0.3 32.0 1.07 0.92 12.9 0.055 0.48 2.9 0.9 0.8 0.17-0.160.051 0.50 1.0.05.6 0.8 1.5 0.05 220.05 0.050.0528 0.050.0500 2
BURRITO2 2500.05 1.0 80.05.0.05.03 -0.12-0.053 0.05 4 0.241.0 150.05 0.240.7 0.3 32.0 1.07 0.92 12.9 0.055 0.481 2.9 0.9 0.8 0.17-0.160.051 0.50 1.0.05.6 0.8 1.5 0.05 220.05 0.050.0528 0.050.0500 2
BUS 14400.05 4.0 80.05.0 -0.43-0.053-0.053 0.05 5 0.136 0.6 135.0.05.200.55 0.3042.0 1.03 0.86 14.7 0.055 0.5 2.5 0.6 0.6 0.16-0.200.051 0.4 1.0.05.6 0.8 1.5 0.05 40.050.050.050048 00.050.050 2
CABBY 1800.05 1.2 85 0.05 0.2 -0.191.0 4 0.189 1.0 155.0.05.220.77 0.4035.0 1.14 0.97 11.9 0.055 0.480 3.2 1.0 1.0.05.10 -0.10.05.03 0.5 1.0.05.6 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
CAVCADE 2600.05 1.0 85 0.05 0.053 -0.190.5 4 0.237 1.0 150.05 0.200.65 0.5 35.0 1.231.03 11.9 0.055 0.48 3.6 1.2 1.2 0.15-0.15-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 70.050.0504400.05 00.050.050.05
CHAVOS 1300.05 1.2 85 0.05 0.2 0.054 1.0 5 0.21 1.0 180.05 0.260.70.05.3735.0 1.201.10.14.5 0.055 0.475 4.0 1.4 1.4 0.059 -0.059-0.053 0.05 0.55 1.0.05.6 0.8 1.5 0.05 20.050.0504400.05 0.050.0500.05
COGNOS 2800.05 1.5 85 0.05 0.050 -0.056-0.053 0.05 5 0.32 1.0 209.0.05.260.65 0.45 34.0 1.27 1.07 12.3 0.055 0.488 3.6 1.2 1.2 0.059 -0.10.05.03 0.05 0.50 1.0.05.6 0.8 1.5 0.05 90.050.0504400.05 0.050.0500.05
COMET 1400.05 1.0 88 0.05 -0.15-0.22-0.053 0.05 5 0.55 1.0 225.0.05.28 0.75 0.60 35.0 1.60.05.85 10.05 0.055 0.487 5.6 1.9 1.9 0.057 -0.058 0.051 0.47 1.0.05.6 0.8 1.5 0.05 60.050 404400.05 0.050.0581 1
CONTENDER 2300.05 2.5 85 0.05 0.056 -0.053 0.5 4 0.32 1.0 190.05 0.200.75 0.45 35.0 1.211.0512.1 0.055 0.483 3.5 1.2 1.2 0.15-0.180.053 0.5 1.0.05.6 0.8 1.5 0.05 250.05 004400.05 00.0500.05 0
COQUETTE 1600.05 2.0 88 0.05 0.053 -0.20.05.03 0.05 5 0.55 1.0.290.05 0.28 0.75 0.60 32.0 1.320.85 10.05 0.055 0.483 5.6 2.0 2.0.05.07 -0.058-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 41.0.0504400.05 0.050.0500.05
DF8 1500.05 1.5 88 0.05 0.22-0.050 1.0 5 0.251.0 180.05 0.280.75 0.45 32.0 1.34 1.138.9 0.055 0.484 4.5 1.4 1.4 0.058 -0.059-0.053 0.05 0.54 1.0.05.6 0.8 1.5 0.05 180.05 004400.05 0.050.0500.05
DILETT 1300.05 0.7 85 0.05 0.220.051 1.0 5 0.221.0 170.05 0.250.70.05.28 35.0 1.19 0.96 12.2 0.055 0.475 3.5 1.2 1.2 0.059 -0.10.05.03 0.05 0.53 1.0.05.6 0.8 1.5 0.05 20.050.0504400.05 0.050.0500.05
DUKES 1780.05 1.8 88 0.05 0.057 -0.20.05.03 0.05 4 0.48 1.0 210.05 0.300.70.05.55 35.0 1.330.88 13.0.05.05 0.48 3.0.05.9 0.9 0.10 -0.10.05.02 0.55 1.0.05.6 0.8 1.5 0.05 220.05 00440.050.050.050.050.05
EMPEROR 20.05.0 1.2 85 0.05 0.053 -0.15-0.053 0.05 4 0.45 1.0 150.05 0.280.70.05.50 33.0 1.120.88 11.0.05.05 0.483 2.9 0.8 0.8 0.10 -0.170.052 0.5 1.0.05.6 0.8 1.5 0.05 250.05 00440.050.050.050.050.05
EMPEROR2 20.05.0 1.2 85 0.05 0.050 -0.050.05.03 0.05 4 0.191.0 150.05 0.190.72 0.3333.0 1.02 0.86 10.4 0.055 0.483 2.4 0.6 0.7 0.10 -0.170.052 0.5 1.0.05.6 1.0 1.5 0.05 250.05 440.050.050.050.051 0
;TWEAKED
; name       mass    drag  boy  centreofmass  		transmission		 	brakes         steer	wheel-traction       	    	suspension									damage   			seat val     	mflags      hflags			anim
; A          B       C     D    E   F    G    		Tt   Tg Tf	  Ti  Tv	Tb   Tbb  Thb  Ts    	Wc+  Wc-  Wc-  Ws+  Wbias		Sf   Scd  Srd  Su    Sl   Sr   Sb   		Dc  Dw  Dd  De		Ms   Mv			Mmf 		Mhf	 			Ma
;
ESPERANT 1820.05 1.2 85 0.05 0.18-0.050 1.0 3 0.221.0 155.0.05.240.75 0.4035.0 1.230.97 12.3 0.055 0.480 3.2 1.0 1.0.05.10 -0.170.051 0.5 1.0.05.6 0.8 1.5 0.05 180.05 00440.050.050.050.051 0
FACTION 1520.05 2.0 88 0.05 0.053 0.051 0.05 4 0.311.0 180.05 0.250.72 0.45 32.0 1.27 1.07 10.2 0.055 0.482 4.5 1.3 1.3 0.059 -0.10.05.01 0.53 1.0.05.6 0.8 1.5 0.05 180.05 4400.05 0.05
FBI 1950.05 2.6 85 0.05 0.058 -0.20.05.03 0.05 5 0.32 1.0 205.0.05.330.65 0.6 35.0 1.43 1.2312.5 0.055 0.485 4.5 1.4 1.4 0.059 -0.14-0.053 0.05 0.5 1.0.05.7 0.8 1.5 0.05 250.05 004400.05 0.050.0501 0
FELTZER 1540.05 1.2 88 0.05 0.054 -0.2-0.053 0.05 5 0.32 1.0 209.0.05.330.65 0.45 32.0 1.51 1.309.8 0.055 0.48 5.0 1.8 1.8 0.057 -0.058-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 30.050.0504400.05 0.050.0500.05
FEROCI 1500.05 1.3 88 0.05 -0.051 -0.050.05.03 0.05 5 0.261.0 190.05 0.2 0.65 0.45 32.0 1.34 1.06 9.9 0.055 0.482 4.5 1.4 1.4 0.058 -0.10.05.01 0.51 1.0.05.6 0.8 1.5 0.05 180.05 00440.430.050.0500.05
FIRETRUK 120.05.0 2.0 80.05.0 -0.19-0.230.3 4 0.180.65 150.05 0.2 0.55 0.4035.0 1.0.05.79 12.7 0.055 0.48 3.0 1.0 1.0.05.10 -0.15-0.053 0.05 0.50 1.0.05.6 0.8 1.2 0.05 40.050.050.050048 00.050.050 2
FLATBED 110.05.0.05.3 80.05.0 -0.05 0.055 0.05.160.150.3 150.05 0.2 0.60.05.30.05.0.05.92 0.76 11.8 0.055 0.48 2.2 0.8 0.9 0.10 -0.15-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 40.050.050.054018 00.050.050 2
FORTUNE 1700.05 1.5 85 0.05 0.17-0.17-0.053 0.05 4 0.281.0 195.0.05.2 0.65 0.45 35.0 1.34 1.13 12.2 0.055 0.482 4.6 1.4 1.4 0.059 -0.10.05.005 0.5 1.0.05.6 0.8 1.5 0.05 160.05 00440.430.050.0500.05
FORKLIFT 500.05 20.05 85 0.05 -0.05 -0.151.0 1 0.231.0 50.05 0.250.6 0.7 35.0 1.03 0.92 9.8 0.056 0.48 8.0 2.0 2.0.05.07 -0.058-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 250.05 00440.050.050.0500.05 0
FUTO 1100.05 2.0 88 0.05 0.058 -0.10.05.03 0.05 5 0.3 1.0 180.05 0.21 0.7 0.5 33.0 1.201.179.8 0.055 0.482 4.8 1.5 1.5 0.058 -0.059 0.051 0.51 1.0.05.6 0.8 1.5 0.05 140.05 00440.050.050.0500.05 0
FXT 2600.05 1.2 85 0.05 0.057 -0.190.5 4 0.237 1.0 150.05 0.200.72 0.44 35.0 1.14 0.97 12.1 0.055 0.483 3.5 1.1 1.1 0.15-0.15-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 550.05 004400.05 00.050.050.05
HABANERO 1600.05 1.3 85 0.05 0.22-0.190.5 5 0.241.0 175.0.05.2 0.70.05.45 35.0 1.311.1311.9 0.055 0.480 4.0 1.3 1.3 0.10 -0.150.0535 0.5 1.0.05.6 0.8 1.5 0.05 320.05 004400.05 0.050.0500.05
HAKUMAI 1500.05 0.3 85 0.05 0.220.051 1.0 5 0.175 1.0 155.0.05.21 0.75 0.45 35.0 1.311.1311.9 0.055 0.480 3.8 1.3 1.3 0.058 -0.059 0.052 0.53 1.0.05.6 0.8 1.5 0.05 150.05 00440.050.050.050.050.05
HUNTLEY 2500.05 1.0 85 0.05 0.058 -0.150.5 6 0.234 1.0 170.05 0.21 0.65 0.45 35.0 1.34 1.10.14.6 0.055 0.483 4.0 1.3 1.3 0.059 -0.170.051 0.50 1.0.05.6 0.8 1.5 0.05 40.050.0504400.05 0.050.0501 0
INFERNUS 1850.05 1.2 88 0.05 -0.10 -0.190.226 0.401.0 280.05 0.28 0.7 0.55 33.0 1.73 1.42 9.1 0.055 0.489 6.2 2.2 2.2 0.057 -0.058-0.053 0.05 0.49 1.0.05.6 0.8 1.5 0.05 10.0500.0504400.05 0.050.0581 1
INGOT 1500.05 0.5 85 0.05 0.22-0.21 1.0 5 0.201.0 170.05 0.250.75 0.3 35.0 1.371.06 12.2 0.055 0.48 3.8 1.3 1.3 0.059 -0.059-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 10.050 440.430.05
INTRUDER 1800.05 1.5 88 0.05 0.059 -0.17-0.053 0.05 5 0.30 1.0 210.05 0.260.65 0.50 35.0 1.341.1710.1 0.055 0.485 4.0 1.4 1.4 0.059 -0.10.05.03 0.05 0.50 1.0.05.6 0.8 1.5 0.05 250.05 4400.05 0.05
LANSTALK 2700.05 1.0 85 0.05 0.057 0.055 0.5 4 0.251.0 150.05 0.200.67 0.45 35.0 1.170.92 12.1 0.055 0.483 3.7 1.2 1.2 0.15-0.170.051 0.52 1.0.05.6 0.8 1.5 0.05 30.050.0504400.05 00.050.050.05
LOKUS 1700.05 1.0 88 0.05 0.050.05.05 0.05 5 0.251.0 190.05 0.260.65 0.45 32.0 1.34 1.07 8.9 0.055 0.487 3.8 1.3 1.3 0.059 -0.10.05.03 0.05 0.5 1.0.05.6 0.8 1.5 0.05 130.05 004400.05 0.050.0500.05
MANANA 2100.05 2.0 85 0.05 0.056 -0.057-0.053 0.05 3 0.231.0 160.05 0.240.72 0.4035.0 1.230.97 12.9 0.055 0.480 2.7 0.8 0.8 0.10 -0.170.0515 0.50 1.0.05.6 0.8 1.5 0.05 120.05 00440.050.050.050.050.05
MARBELLA 1800.05 1.4 85 0.05 0.050.05.03 0.05 3 0.221.0 150.05 0.240.74 0.3 35.0 1.130.86 12.9 0.055 0.480 3.0.05.8 0.8 0.10 -0.14-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 150.05 00440.050.050.050.050.05
MERIT 1650.05 1.5 88 0.05 0.22-0.261.0 4 0.281.0 205.0.05.250.70.05.45 32.0 1.36 1.11 10.3 0.055 0.485 4.4 1.4 1.4 0.059 -0.170.051 0.53 1.0.05.6 0.8 1.5 0.05 180.05 0.050.0518 0.050.0500 2
MINIVAN 1850.05 1.2 80.05.0.05.2 -0.191.0 4 0.231.0 170.05 0.220.72 0.3 34.0 1.230.97 11.4 0.055 0.482 3.4 1.1 1.1 0.10 -0.10.05.03 0.5 1.0.05.6 0.8 1.5 0.05 20.050.050.054018 0.050.0500 2
MOONBEAM 2200.05 0.7 80.05.0.05.00.05.04 0.05 4 0.186 1.0 145.0.05.240.73 0.3033.0 1.16 1.0012.9 0.055 0.480 3.0.05.9 0.9 0.10 -0.170.052 0.5 1.0.05.6 0.8 1.5 0.05 220.05 0.050.0508 0.050.0500 2
MRTASTY 30.05.0 1.7 80.05.0 -0.05 0.055 0.05 4 0.191.0 130.05 0.240.7 0.3 32.0 1.02 0.86 11.9 0.055 0.482 2.8 1.0.05.9 0.10 -0.13-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 220.05 0.050.0508 0.050.0500 2
;BY
; name       mass    drag  boy  centreofmass  		transmission		 	brakes         steer	wheel-traction       	    	suspension									damage   			seat val     	mflags      hflags			anim
; A          B       C     D    E   F    G    		Tt   Tg Tf	  Ti  Tv	Tb   Tbb  Thb  Ts    	Wc+  Wc-  Wc-  Ws+  Wbias		Sf   Scd  Srd  Su    Sl   Sr   Sb   		Dc  Dw  Dd  De		Ms   Mv			Mmf 		Mhf	 			Ma
;
MULE 4500.05 1.5 80.05.0 -0.05 -0.30.05.03 0.05 5 0.180.8 130.05 0.200.60.05.3 40.05 1.211.02 12.7 0.055 0.49 3.0 1.0 1.0.05.16-0.14-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 250.05 0.050.0548 0.050.0500 2
NOOSE 1850.05 1.7 85 0.05 0.050 -0.16-0.053 0.05 4 0.315 1.0 190.05 0.260.65 0.6 35.0 1.31 1.10.14.9 0.055 0.483 3.5 1.1 1.1 0.10 -0.10.05.03 0.50 1.0.05.7 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
ORACLE 1850.05 1.5 88 0.05 -0.051 -0.30.05.03 0.05 6 0.311.0 209.0.05.300.65 0.45 32.0 1.46 1.129.8 0.055 0.489 4.4 1.4 1.4 0.059 -0.10.05.03 0.05 0.50 1.0.05.6 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
PACKER 10.050.05 1.3 80.05.0.05.07 -0.20.05.03 0.05 10.05.136 0.3 150.05 0.2 0.50.05.30.05.0 1.130.86 14.7 0.055 0.48 2.9 0.9 0.9 0.17-0.17-0.053 0.05 0.60 1.0.05.6 0.8 1.5 0.05 40.050.050.050048 00.050.050 2
PATRIOT 30.05.0 2.0 85 0.05 0.056 0.051 0.4 4 0.250 1.0 130.05 0.200.65 0.4335.0 1.07 0.86 12.7 0.055 0.482 2.7 1.1 1.1 0.23-0.20.05.03 0.05 0.50 1.0.05.5 0.7 1.4 0.05 50.050.0502200.05 00.050.050.05
PERENNIAL 20.05.0 1.0 80.05.0.05.220.051 1.0 5 0.241.0 170.05 0.240.70.05.3 33.0 1.251.03 11.4 0.055 0.480 3.3 1.1 1.1 0.10 -0.12-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 220.05 0.050.0518 0.050.0500 2
PEYOTE 1500.05 3.0 85 0.05 0.053 0.055 0.05 4 0.32 1.0 175.0.05.200.73 0.3135.0 1.07 0.86 12.9 0.055 0.484 2.4 0.7 0.7 0.17-0.150.055 0.431.0.05.6 1.0 1.5 0.05 250.05 00440.050.050.050.050.05
PHANTOM 90.05.0 1.0 80.05.0.05.22-0.057-0.053 0.05.160.200.3 150.05 0.300.55 0.30.05.0 1.130.86 14.7 0.055 0.48 2.5 0.8 0.8 0.17-0.190.051 0.65 1.0.05.6 0.8 1.0.05.0 40.050.050.050.2200.050.050 2
PINNACLE 1600.05 2.2 85 0.05 0.22-0.056 1.0 5 0.2 1.0 225.0.05.260.71 0.45 35.0 1.34 1.10.14.6 0.055 0.485 3.6 1.3 1.3 0.059 -0.14-0.053 0.05 0.45 1.0.05.6 0.8 1.5 0.05 20.050.0504400.05 0.050.0500.05
PMP600 1850.05 2.3 88 0.05 0.050 -0.1-0.053 0.05 5 0.32 1.0 200.05 0.280.65 0.45 35.0 1.371.06 10.6 0.055 0.485 4.0 1.4 1.4 0.059 -0.14-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 320.05 004400.05 0.050.0500.05
POLICE 1850.05 1.5 85 0.05 0.050 -0.16-0.053 0.05 4 0.292 1.0 190.05 0.260.65 0.6 35.0 1.311.1311.9 0.055 0.483 3.5 1.1 1.1 0.10 -0.10.05.03 0.50 1.0.05.7 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
POLICE2 1700.05 1.5 85 0.05 0.22-0.311.0 4 0.281.0 205.0.05.300.68 0.6 35.0 1.331.09 12.1 0.055 0.485 4.3 1.3 1.3 0.10 -0.170.0525 0.53 1.0.05.7 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
POLPAT 3100.05 2.0 85 0.05 0.056 -0.054 0.4 4 0.292 1.0 140.05 0.250.65 0.6 35.0 1.07 0.86 12.2 0.055 0.481 3.0 1.2 1.2 0.23-0.20.05.03 0.05 0.50 1.0.05.6 0.7 1.4 0.05 50.050.0502200.05 00.050.050.05
PONY 2300.05 1.0 80.05.0.05.03 -0.056-0.053 0.05 4 0.221.0 145.0.05.220.72 0.3 35.0 1.130.90 13.9 0.055 0.481 2.8 0.9 0.9 0.16-0.13-0.053 0.05 0.48 1.0.05.6 0.8 1.5 0.05 180.05 0.050.0508 0.050.0500 2
PREMIER 1300.05 0.5 85 0.05 0.22-0.05 1.0 4 0.202 1.0 170.05 0.250.70.05.45 35.0 1.24 1.06 12.0.05.03 0.475 4.2 1.3 1.3 0.10 -0.14-0.053 0.05 0.53 1.0.05.6 0.8 1.5 0.05 180.05 004400.05 0.050.0500.05
PRES 1700.05 2.0 88 0.05 0.051 -0.16-0.053 0.05 5 0.331.0 200.05 0.300.67 0.45 32.0 1.221.13 9.6 0.055 0.488 4.8 1.6 1.6 0.059 -0.10.05.03 0.05 0.50 1.0.05.6 0.8 1.5 0.05 250.05 004440.05 0.050.0500 2
PRIMO 1700.05 0.4 85 0.05 0.22-0.057 1.0 4 0.241.0 170.05 0.220.75 0.3 35.0 1.24 1.03 11.9 0.055 0.480 3.5 1.1 1.1 0.10 -0.170.051 0.53 1.0.05.6 0.8 1.5 0.05 180.05 004400.05 0.050.0500.05
RANCHER 2100.05 1.0 85 0.05 0.22-0.05 0.5 4 0.186 1.0 135.0.05.200.75 0.4035.0 1.230.97 12.1 0.055 0.480 3.3 1.0 1.0.05.19-0.190.052 0.50 1.0.05.6 0.8 1.5 0.05 250.05 00220.050.050.050.051 0
REBLA 2200.05 1.5 85 0.05 0.053 -0.150.405 0.28 1.0 190.05 0.250.66 0.50 35.0 1.311.04 11.4 0.055 0.483 4.4 1.3 1.3 0.059 -0.12-0.053 0.05 0.50 1.0.05.6 0.8 1.5 0.05 350.05 004400.05 0.050.0500.05
RIPLEY 230.05.0 15.0 85 0.05 -0.05 -0.30.05.03 0.05 3 0.241.0 60.05 0.180.65 0.40.05.0 1.331.1311.8 0.055 0.495 4.4 1.8 2.0.05.15-0.12-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 250.05 00440.050.050.050.050.05
ROMAN 1820.05 1.2 85 0.05 0.18-0.050 1.0 4 0.221.0 155.0.05.240.75 0.4035.0 1.230.97 12.3 0.055 0.480 3.2 1.0 1.0.05.10 -0.170.051 0.50 1.0.05.6 0.8 1.5 0.05 180.05 004400.05 0.050.0500.05
ROMERO 2500.05 0.8 80.05.0 -0.17-0.054-0.053 0.05 4 0.221.0 170.05 0.240.60.05.30 35.0 1.120.99 13.9 0.055 0.485 3.2 1.0 1.0.05.10 -0.14-0.053 0.05 0.46 1.0.05.6 0.8 1.5 0.05 220.05 004440.05 0.050.0500 2
RUINER 1455.0 1.7 88 0.05 0.053 -0.30.05.03 0.05 4 0.233 1.0 185.0.05.260.7 0.50 32.0 1.341.13 9.9 0.055 0.483 4.9 1.4 1.4 0.059 -0.10.05.03 0.05 0.50 1.0.05.6 0.8 1.5 0.05 190.05 004400.05 0.050.0500.05
SABRE 1500.05 1.9 88 0.05 0.053 -0.054-0.053 0.05 4 0.261.0 170.05 0.21 0.72 0.4335.0 1.301.10.05.2 0.055 0.481 4.3 1.3 1.3 0.059 -0.10.05.03 0.05 0.5 1.0.05.6 0.8 1.5 0.05 20.050.050440.050.050.050.050.05
SABRE2 1500.05 1.9 88 0.05 0.053 -0.054-0.053 0.05 4 0.241.0 170.05 0.200.73 0.4035.0 1.230.97 10.2 0.055 0.481 3.5 1.0 1.0.05.09 -0.10.05.03 0.05 0.5 1.0.05.6 1.1 1.5 0.05 20.050.050440.050.050.050.050.05
